fcst_weeks,fcst_months,fcst_year,month_year,week_of_month,peak_flag,festival_flag,covid_flag
2021-09-06T00:00:00.000+0000,9,2021,2021-9,1,1,0,0
2021-09-13T00:00:00.000+0000,9,2021,2021-9,2,1,0,0
2021-09-20T00:00:00.000+0000,9,2021,2021-9,3,1,0,0
2021-09-27T00:00:00.000+0000,9,2021,2021-9,4,1,0,0
2021-10-04T00:00:00.000+0000,10,2021,2021-10,1,1,1,0
2021-10-11T00:00:00.000+0000,10,2021,2021-10,2,1,1,0
2021-10-18T00:00:00.000+0000,10,2021,2021-10,3,1,1,0
2021-10-25T00:00:00.000+0000,10,2021,2021-10,4,1,1,0
2021-11-01T00:00:00.000+0000,11,2021,2021-11,1,1,1,0
2021-11-08T00:00:00.000+0000,11,2021,2021-11,2,1,1,0
2021-11-15T00:00:00.000+0000,11,2021,2021-11,3,1,1,0
2021-11-22T00:00:00.000+0000,11,2021,2021-11,4,1,1,0
2021-11-29T00:00:00.000+0000,11,2021,2021-11,5,1,1,0
2021-12-06T00:00:00.000+0000,12,2021,2021-12,1,0,0,0
2021-12-13T00:00:00.000+0000,12,2021,2021-12,2,0,0,0
2021-12-20T00:00:00.000+0000,12,2021,2021-12,3,0,0,0
2021-12-27T00:00:00.000+0000,12,2021,2021-12,4,0,0,0
2022-01-03T00:00:00.000+0000,1,2022,2022-1,1,0,0,0
2022-01-10T00:00:00.000+0000,1,2022,2022-1,2,0,0,0
2022-01-17T00:00:00.000+0000,1,2022,2022-1,3,0,0,0
2022-01-24T00:00:00.000+0000,1,2022,2022-1,4,0,0,0
2022-01-31T00:00:00.000+0000,1,2022,2022-1,5,0,0,0
2022-02-07T00:00:00.000+0000,2,2022,2022-2,1,0,0,0
2022-02-14T00:00:00.000+0000,2,2022,2022-2,2,0,0,0
2022-02-21T00:00:00.000+0000,2,2022,2022-2,3,0,0,0
2022-02-28T00:00:00.000+0000,2,2022,2022-2,4,0,0,0
